eGRID2019 Plant file sequence number,Data Year,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Utility name,Utility ID,Plant county name,Plant latitude,Plant longitude,Number of units,Plant primary coal/oil/gas/ other fossil fuel category
SEQPLT19,YEAR,PSTATABB,PNAME,ORISPL,UTLSRVNM,UTLSRVID,CNTYNAME,LAT,LON,NUMUNT,PLFUELCT
904,2019,CA,Dinosaur Point,10005,International Turbine Res Inc,9397,Merced,37.0478,-121.1708,1,WIND
905,2019,CA,Dinuba Energy,60100,Dinuba Energy,59849,Tulare,36.571485,-119.419176,1,BIOMASS
906,2019,CA,Dinuba Wastewater Treatment Plant,57827,"Sustainable Power Group, LLC",58661,Tulare,36.538056,-119.426388,1,SOLAR
907,2019,CA,Dion R Holm,380,City & County of San Francisco,16612,Tuolumne,37.896649,-119.9675,2,HYDRO
908,2019,CA,Disney Prospect,62571,Bloom Energy,57128,Los Angeles,34.083387,-118.43378,1,GAS
909,2019,CA,Division 1,59094,Tesla Inc.,60947,Los Angeles,34.708333,-118.130556,1,SOLAR
910,2019,CA,Division 2,59095,Tesla Inc.,60947,Los Angeles,34.708333,-118.130556,1,SOLAR
911,2019,CA,Division 3,59096,Tesla Inc.,60947,Los Angeles,34.708333,-118.130556,1,SOLAR
912,2019,CA,Dome Project,54449,"Sentinel Peak Resources California, LLC",60637,Kern,35.220833,-119.583056,2,GAS
913,2019,CA,Dominguez Plant,52064,Eco Services Corp.,59409,Los Angeles,33.8431,-118.2347,1,OTHF
914,2019,CA,Don Lee BESS 1 LLC,62872,Don Lee BESS 1 LLC,62746,San Diego,33.128685,-117.12118,1,OTHF
915,2019,CA,Don Pedro,439,Turlock Irrigation District,19281,Tuolumne,37.695994,-120.420152,4,HYDRO
916,2019,CA,Donald Von Raesfeld,56026,City of Santa Clara - (CA),16655,Santa Clara,37.3767,-121.9508,2,GAS
917,2019,CA,Donnells,415,Oakdale&South San Joaquin Irrigation D.,13935,Tuolumne,38.246656,-120.034072,1,HYDRO
918,2019,CA,Double C Generation Limited Partnership,50493,WCAC Operating Company,60662,Kern,35.5005,-119.046,2,GAS
919,2019,CA,Downey,63613,Advanced Microgrid Solutions,61344,Los Angeles,33.919368,-118.128919,1,OTHF
920,2019,CA,Drew Solar LLC,63127,Drew Solar LLC,62911,Imperial,32.687195,-115.665593,1,SOLAR
921,2019,CA,Drews Generating Facility,55935,Colton Power LP,4382,San Bernardino,34.0609,-117.3532,4,GAS
922,2019,CA,Drop 1,585,Imperial Irrigation District,9216,Imperial,32.711611,-114.942666,3,HYDRO
923,2019,CA,Drop 2 (CA),385,Imperial Irrigation District,9216,Imperial,32.705435,-115.030975,2,HYDRO
924,2019,CA,Drop 3 (CA),386,Imperial Irrigation District,9216,Imperial,32.705428,-115.126103,2,HYDRO
925,2019,CA,Drop 4,387,Imperial Irrigation District,9216,Imperial,32.705341,-115.219067,2,HYDRO
926,2019,CA,Drop 5,314,Imperial Irrigation District,9216,Imperial,32.673097,-115.392026,2,HYDRO
927,2019,CA,Drum 1,235,Pacific Gas & Electric Co.,14328,Placer,39.256873,-120.767437,4,HYDRO
928,2019,CA,Drum 2,236,Pacific Gas & Electric Co.,14328,Placer,39.257388,-120.767046,1,HYDRO
929,2019,CA,DSH (CA) - Coalinga State Hospital,59746,"Team-Solar, Inc.",59512,Fresno,36.13726,-120.218453,1,SOLAR
930,2019,CA,DTE Stockton,54238,DTE Stockton LLC,56652,San Joaquin,37.943633,-121.330433,1,BIOMASS
931,2019,CA,Dulles,60182,Golden Springs Development Company LLC,57104,Riverside,34.030119,-117.517753,1,SOLAR
932,2019,CA,Dutch Flat,237,Pacific Gas & Electric Co.,14328,Placer,39.216985,-120.835587,1,HYDRO
933,2019,CA,Dutch Flat 2,413,Nevada Irrigation District,13402,Nevada,39.2184,-120.8352,1,HYDRO
934,2019,CA,Dutch Wind Energy,57301,Terra-Gen Operating Co-Wind,2770,Riverside,33.8942,-116.5603,1,WIND
935,2019,CA,Dyer Road,50818,"Sustainable Power Group, LLC",58661,San Joaquin,37.7392,-121.4322,1,WIND
936,2019,CA,Dynegy Oakland Power Plant,6211,"Dynegy Oakland, LLC",54803,Alameda,37.79675,-122.28185,4,OIL
937,2019,CA,E F Oxnard Energy Facility,10776,"EF Oxnard, LLC",5533,Ventura,34.1958,-119.1664,1,GAS
938,2019,CA,E&B Resources,60446,Terraform Arcadia,63249,Kern,35.534584,-119.060029,1,SOLAR
939,2019,CA,EAFB - North Base,59132,"Ahana Renewables, LLC",59622,Kern,34.9325,-117.907222,1,SOLAR
940,2019,CA,EAFB - South Base,59133,"Ahana Renewables, LLC",59622,Kern,34.917222,-117.900278,1,SOLAR
941,2019,CA,Eagle Creek,63078,ZGlobal Inc,60059,Kern,35.214023,-119.39522,1,SOLAR
942,2019,CA,East Highline,586,Imperial Irrigation District,9216,Imperial,32.699451,-115.28245,1,HYDRO
943,2019,CA,East Portal Generator,50375,Calleguas Mun Water District,30076,Los Angeles,34.2619,-118.6242,1,HYDRO
944,2019,CA,East Winds Project,50820,Terra-Gen Operating Co-Wind,2770,Riverside,33.890913,-116.541515,1,WIND
945,2019,CA,EDF Renewable Windfarm V Inc,54453,"EDF Renewable Asset Holdings, Inc.",57170,Solano,38.1167,-121.8333,1,WIND
946,2019,CA,Edom Hills Project 1 LLC,50553,"Red Marlin Wind Ventures, LLC",61208,Riverside,33.881667,-116.460278,2,WIND
947,2019,CA,EDPR CA Solar Park VI LLC (CA) Hybrid,62892,EDPR CA Solar Park VI LLC,62760,Fresno,36.62543,-120.378926,2,
948,2019,CA,Edward C Hyatt,437,California Dept. of Water Resources,3255,Butte,39.542985,-121.492188,6,HYDRO
949,2019,CA,Edwards Air Force Base,58076,"Ahana Renewables, LLC",59622,Kern,34.9077,-117.9206,3,SOLAR
950,2019,CA,El Cajon Energy Center,57001,El Cajon Energy LLC,56275,San Diego,32.796106,-116.972073,1,GAS
951,2019,CA,El Cajon Energy Storage,60569,San Diego Gas & Electric Co,16609,San Diego,32.8115,-117.050546,1,OTHF
952,2019,CA,El Centro,389,Imperial Irrigation District,9216,Imperial,32.802222,-115.54,4,GAS
953,2019,CA,El Dorado,238,El Dorado Irrigation District,25915,El Dorado,38.793574,-120.619152,2,HYDRO
954,2019,CA,El Nido Facility,56707,Merced Power LLC,55952,Merced,37.1867,-120.4903,1,BIOMASS
955,2019,CA,El Segundo,330,NRG El Segundo Operations Inc,13584,Los Angeles,33.910556,-118.425,2,GAS
956,2019,CA,El Segundo Cogen,10213,Chevron USA Inc-El Segundo,3452,Los Angeles,33.9058,-118.4031,8,GAS
957,2019,CA,ELACC Photovoltaic Power Facility,56814,MMA LA Power LP,56027,Los Angeles,34.040278,-118.148056,2,SOLAR
958,2019,CA,"Eland Solar & Storage Center, Phase 1 Hybrid",61168,68SF 8me LLC,60797,Kern,35.2237,-117.977,2,
959,2019,CA,"Eland Solar & Storage Center, Phase 2 Hybrid",61169,69SV 8me LLC,60798,Kern,35.2167,-117.977,2,
960,2019,CA,Electra,239,Pacific Gas & Electric Co.,14328,Amador,38.330985,-120.669901,3,HYDRO
961,2019,CA,Elevation Solar C,59964,"Sustainable Power Group, LLC",58661,Los Angeles,34.730263,-118.30425,1,SOLAR
962,2019,CA,Elk Hills Cogen,55950,California Resources Elk Hills LLC,13989,Kern,35.479146,-119.737464,2,GAS
963,2019,CA,Elk Hills Power,55400,Elk Hills Power LLC,34164,Kern,35.280318,-119.470707,2,GAS
964,2019,CA,Elkhorn Battery Energy Storage System,62564,Pacific Gas & Electric Co.,14328,Monterey,36.808039,-121.781788,1,OTHF
965,2019,CA,Ellwood,8076,"GenOn California South, LP",15908,Santa Barbara,34.431419,-119.900055,1,GAS
966,2019,CA,Elmore Company,10634,CalEnergy Operating Corporation,49899,Imperial,33.1777,-115.6033,1,GEOTHERMAL
967,2019,CA,Encina Water Pollution Control,10026,Encina Joint Powers Authority,5901,San Diego,33.1165,-117.3215,7,BIOMASS
968,2019,CA,Energy Center,58168,University of Redlands,58105,San Bernardino,34.063056,-117.163889,4,GAS
969,2019,CA,Enerparc CA1 LLC,59122,"Enerparc CA 1, LLC",58944,San Benito,36.831667,-121.404167,1,SOLAR
970,2019,CA,"Enerparc CA2, LLC",59978,Enerparc Inc.,60496,Glenn,39.69898,-122.175583,1,SOLAR
971,2019,CA,Equilon Los Angeles Refining,50530,Tesoro Refining and Marketing Company,55985,Los Angeles,33.791667,-118.234722,3,OTHF
972,2019,CA,Equinix Caspian Dr. Fuel Cell,62671,"2016 ESA Project Company, LLC",62150,Santa Clara,37.415092,-122.05211,2,GAS
973,2019,CA,Equinix Douglas St. Fuel Cell,62704,"2016 ESA Project Company, LLC",62150,Los Angeles,33.9212,-118.38453,1,GAS
974,2019,CA,Equinix Great Oaks Blvd. Fuel Cell,62702,"2016 ESA Project Company, LLC",62150,Santa Clara,37.24097,-121.78259,2,GAS
975,2019,CA,Equinix Lundy Ave. Fuel Cell,62703,"2016 ESA Project Company, LLC",62150,Santa Clara,37.38846,-121.88896,2,GAS
976,2019,CA,Equinix Maple Ave. Fuel Cell,62705,"2016 ESA Project Company, LLC",62150,Los Angeles,33.92542,-118.39463,1,GAS
977,2019,CA,Equinix San Jose,60223,Bloom Energy,57128,Santa Clara,37.241713,-121.781363,1,GAS
978,2019,CA,EQX010 Great Oaks Fuel Cell,63704,"2016 ESA Project Company, LLC",62150,Santa Clara,37.24212,-121.78308,2,GAS
979,2019,CA,EQX011 Duane Fuel Cell,63705,"2016 ESA Project Company, LLC",62150,Santa Clara,37.37816,-121.95495,3,GAS
980,2019,CA,EQX015 Great Oaks Fuel Cell,63708,"2016 ESA Project Company, LLC",62150,Santa Clara,37.24187,-121.7816,2,GAS
981,2019,CA,"Escondido Energy Center, LLC",55538,"Wellhead Energy, LLC",20323,San Diego,33.1261,-117.1172,1,GAS
982,2019,CA,Escondido Energy Storage,60570,San Diego Gas & Electric Co,16609,San Diego,33.124446,-117.114274,1,OTHF
983,2019,CA,ESI Project,50819,"Sustainable Power Group, LLC",58661,Alameda,37.739167,-121.432222,1,WIND
984,2019,CA,Etiwanda,745,Metropolitan Water District of S CA,12397,San Bernardino,34.10345,-117.5257,1,HYDRO
985,2019,CA,Etiwanda Generating Station,331,"GenOn California South, LP",15908,San Bernardino,34.09118,-117.52663,5,GAS
986,2019,CA,Exchequer,409,Merced Irrigation District,12312,Mariposa,37.584345,-120.26859,1,HYDRO
987,2019,CA,Exeter Solar,58306,Tulare PV I LLC,58268,Tulare,36.2675,-119.128581,3,SOLAR
988,2019,CA,Expressway Solar A,58761,"Sustainable Power Group, LLC",58661,San Bernardino,34.582222,-117.341667,1,SOLAR
989,2019,CA,Expressway Solar B,58762,"Sustainable Power Group, LLC",58661,San Bernardino,34.583333,-117.340278,1,SOLAR
990,2019,CA,Expressway Solar C2,58763,"Sustainable Power Group, LLC",58661,San Bernardino,34.584444,-117.341389,1,SOLAR
991,2019,CA,Extreme San Ignacio,63604,Bloom Energy,57128,Santa Clara,37.237,-121.78532,1,GAS
992,2019,CA,Extreme Via Del Oro,63607,Bloom Energy,57128,Santa Clara,37.23811,-121.78532,1,GAS
993,2019,CA,ExxonMobil Santa Ynez Facility,50270,Exxon Mobil Production Co,6529,Santa Barbara,34.464819,-120.044365,2,GAS
994,2019,CA,FAA NorCal TRACON,58261,Enfinity NorCal 1 FAA LLC,58238,Sacramento,38.559533,-121.257556,1,SOLAR
995,2019,CA,Fairhaven Power,10052,DG Fairhaven Power LLC,54788,Humboldt,40.7995,-124.2028,1,BIOMASS
996,2019,CA,Fall Creek,296,PacifiCorp,14354,Siskiyou,41.985605,-122.360455,3,HYDRO
997,2019,CA,Fallbrook Energy Storage,61365,San Diego Gas & Electric Co,16609,San Diego,33.384244,-117.235322,1,OTHF
998,2019,CA,Farad,6512,Sierra Pacific Power Co,17166,Nevada,39.394267,-120.021732,2,HYDRO
999,2019,CA,Farmersville,59203,Sequoia PV 1 LLC,58593,Tulare,36.19,-119.12,3,SOLAR
1000,2019,CA,Feather River Energy Center,55847,Calpine Corp-Yuba City,2867,Sutter,39.109344,-121.60931,1,GAS
1001,2019,CA,Five Points Solar Park,59523,"Five Points Solar Park, LLC",59258,Fresno,36.386944,-120.236667,1,SOLAR
1002,2019,CA,Five Points Solar Station,57498,Pacific Gas & Electric Co.,14328,Fresno,36.400278,-120.103333,1,SOLAR
1003,2019,CA,FLEX Gibraltar,62575,Bloom Energy,57128,Santa Clara,37.417288,-121.894109,1,GAS
1004,2019,CA,Folsom,441,U S Bureau of Reclamation,2518,Sacramento,38.70675,-121.158443,3,HYDRO
1005,2019,CA,Folsom SP and CSP Sacramento,61698,"Ecoplexus, Inc",58970,Sacramento,38.687,-121.16,1,SOLAR
1006,2019,CA,Fontana,332,Southern California Edison Co,17609,San Bernardino,34.155162,-117.397119,2,HYDRO
1007,2019,CA,Foothill,396,Los Angeles Department of Water & Power,11208,Los Angeles,34.318248,-118.494449,1,HYDRO
1008,2019,CA,Foothill Feeder,6645,Metropolitan Water District of S CA,12397,Los Angeles,34.5148,-118.6092,2,HYDRO
1009,2019,CA,Foothill Solar Project,59799,Los Angeles Department of Water & Power,11208,Los Angeles,34.2738,-118.3454,1,SOLAR
1010,2019,CA,Forbestown,417,South Feather Water and Power Agency,14191,Butte,39.551012,-121.278784,1,HYDRO
1011,2019,CA,"Forever 21 Retail, Inc.",59651,Los Angeles Department of Water & Power,11208,Los Angeles,34.071389,-118.196111,1,SOLAR
1012,2019,CA,Forks of Butte Hydro Project,50350,HYPOWER INC,8530,Butte,39.869284,-121.631865,1,HYDRO
1013,2019,CA,Foster Wheeler Martinez,10342,Foster Wheeler Power Sys Inc,6659,Contra Costa,38.0244,-122.0589,3,GAS
1014,2019,CA,Foundation AB,57791,"Foundation HA Energy Generation, LLC",56930,Solano,38.232222,-122.092778,1,WIND
1015,2019,CA,Foundation California Training Facility,61442,"Foundation CA Fund IX Manager, LLC",61070,Monterey,36.464,-121.382,1,WIND
1016,2019,CA,Foundation CDCR LAC,61066,"Foundation CA Fund VIII Manager, LLC",60690,Los Angeles,34.691,-118.221,1,WIND
1017,2019,CA,Foundation Cemex BMQ,58102,Foundation CA Fund VI Manager LLC,57476,San Bernardino,34.623056,-117.1125,2,WIND
1018,2019,CA,Foundation Cemex Madison,58112,"Foundation CA Fund V Manager, LLC",57484,Yolo,38.692778,-121.9325,1,WIND
1019,2019,CA,Foundation Cemex River Plant,58101,Foundation CA Fund VI Manager LLC,57476,San Bernardino,34.561944,-117.307222,2,WIND
1020,2019,CA,Foundation Dole Fresh Vegetables,62654,Foundation CA Fund X Manager LLC,62130,Monterey,36.459294,-121.350083,2,WIND
1021,2019,CA,Foundation IE,57792,"Foundation HA Energy Generation, LLC",56930,San Bernardino,34.084722,-117.529444,1,WIND
1022,2019,CA,Foundation Mann Packing,61443,"Foundation CA Fund IX Manager, LLC",61070,Monterey,36.504,-121.454,1,WIND
1023,2019,CA,Foundation NWNA,58114,"Foundation CA Fund V Manager, LLC",57484,Riverside,33.914167,-116.749167,3,WIND
1024,2019,CA,Foundation RRM,58113,"Foundation CA Fund V Manager, LLC",57484,Riverside,33.917222,-116.815,2,WIND
1025,2019,CA,Foundation SaIinas Valley State Prison,61444,"Foundation CA Fund IX Manager, LLC",61070,Monterey,36.474,-121.371,1,WIND
1026,2019,CA,Foundation Scheid Vineyards,61067,"Foundation CA Fund VIII Manager, LLC",60690,Monterey,36.274508,-121.191589,1,WIND
1027,2019,CA,Foundation ST,57626,"Foundation HA Energy Generation, LLC",56930,San Joaquin,37.714167,-121.521666,1,WIND
1028,2019,CA,Foundation Superior Farms,58104,Foundation CA Fund VI Manager LLC,57476,Solano,38.42,-121.818056,1,WIND
1029,2019,CA,Foundation Wal-Mart Red Bluff,58105,Foundation CA Fund VI Manager LLC,57476,Tehama,40.111111,-122.193889,1,WIND
1030,2019,CA,Four Mile Hill,55845,Calpine Corporation,7277,Siskiyou,41.6014,-121.625,1,GEOTHERMAL
1031,2019,CA,FPL Energy Montezuma Winds LLC,57201,FPL Energy Montezuma Wind,56555,Solano,38.163581,-121.79661,1,WIND
1032,2019,CA,Francisco St. Solar,62287,AES LA FiT Francisco LLC,61812,Los Angeles,33.8482,-118.3055,1,SOLAR
1033,2019,CA,Frankenheimer Power Plant,50219,Turlock Irrigation District,19281,Stanislaus,37.830378,-120.806972,1,HYDRO
1034,2019,CA,Franklin (CA),397,Los Angeles Department of Water & Power,11208,Los Angeles,34.103931,-118.413377,1,HYDRO
1035,2019,CA,Franklin Templeton San Mateo,57809,Bloom Energy,57128,San Mateo,37.5425,-122.292778,1,GAS
1036,2019,CA,Freeway Springs,60183,Golden Springs Development Company LLC,57104,Los Angeles,33.892614,-118.037564,1,SOLAR
1037,2019,CA,French Meadows,424,Placer County Water Agency,15127,Placer,39.077971,-120.406069,1,HYDRO
1038,2019,CA,Fresno Bullard High School Hybrid,63420,"Forefront Power, LLC",62856,Fresno,36.818646,-119.810408,2,
1039,2019,CA,"Fresno Cogeneration Partners, LP",10156,"Wellhead Energy, LLC",20323,Fresno,36.617022,-120.099846,1,GAS
1040,2019,CA,Fresno Hoover High School Hybrid,63421,"Forefront Power, LLC",62856,Fresno,36.817816,-119.770709,2,
1041,2019,CA,Fresno Solar,60083,"Wellhead Energy, LLC",20323,Fresno,36.616846,-120.105144,2,SOLAR
1042,2019,CA,Fresno Sunnyside High School Hybrid,63422,"Forefront Power, LLC",62856,Fresno,36.734014,-119.717809,2,
1043,2019,CA,Friant Hydro Facility,50393,Friant Power Authority,25438,Fresno,36.997694,-119.703451,4,HYDRO
1044,2019,CA,Frito-Lay Cogen Plant,10110,Frito-Lay Inc,15743,Kern,35.395063,-119.321633,1,GAS
1045,2019,CA,Frontier HS Solar Project,62275,"Kern Highschool District Solar,LLC",61798,Kern,35.41824,-119.14888,1,SOLAR
1046,2019,CA,Frontier Solar LLC,60039,"Frontier Solar, LLC",59776,Stanislaus,37.379919,-121.130661,1,SOLAR
1047,2019,CA,FRV SI Transport Solar LP,57506,Longroad Energy Services LLC,61219,Sacramento,38.4869,-121.3911,1,SOLAR
1048,2019,CA,Fullerton Mill CHP,58083,Kimberly-Clark Worldwide Inc,57463,Orange,33.861667,-117.893056,2,GAS
1049,2019,CA,G2 Energy Hay Rd,58320,G2 Energy LLC,56440,Solano,38.314722,-121.833611,1,BIOMASS
1050,2019,CA,G2 Energy Ostrom Road LLC,57133,G2 Energy LLC,56440,Yuba,39.0728,-121.3992,2,BIOMASS
1051,2019,CA,Gap Pacific Distribution Center,56909,GSRP,61944,Fresno,36.7839,-119.7094,4,SOLAR
1052,2019,CA,Garnet Solar Generation Station I LLC,58528,Garnet Solar Generation Station I LLC,58503,Riverside,33.8906,-116.5431,1,SOLAR
1053,2019,CA,Garnet Wind Energy Center,57302,Terra-Gen Operating Co-Wind,2770,Riverside,33.9053,-116.5825,1,WIND
1054,2019,CA,Gas Utilization Facility,50492,City of San Diego,16764,San Diego,32.679172,-117.246698,3,BIOMASS
1055,2019,CA,Gaskell West 1 Solar Facility,61445,Southern Power Co,17650,Kern,34.832786,-118.563578,1,SOLAR
1056,2019,CA,Gates Peaker,55875,"Wellhead Energy, LLC",20323,Fresno,36.152715,-120.148245,1,GAS
1057,2019,CA,Gates Solar Station,57892,Pacific Gas & Electric Co.,14328,Fresno,36.176389,-120.114167,1,SOLAR
1058,2019,CA,Gateway Energy Storage System,63834,"Gateway Energy Storage, LLC",63512,San Diego,32.570556,-116.910556,1,OTHF
1059,2019,CA,Gateway Generating Station,56476,Pacific Gas & Electric Co.,14328,Contra Costa,38.0175,-121.7587,2,GAS
1060,2019,CA,Gavilan District College Solar Project,61993,Gavilan District College Solar Project,61872,Santa Clara,37.003832,-121.593567,2,SOLAR
1061,2019,CA,Gaviota Oil Plant,50623,Freeport McMoRan Oil & Gas,15174,Santa Barbara,34.475067,-120.205107,4,GAS
1062,2019,CA,GE - Tehachapi,57566,GE Wind Energy LLC,58270,Kern,35.155278,-118.369444,4,WIND
1063,2019,CA,GEN005 Antibody Fuel Cell,63714,"2016 ESA Project Company, LLC",62150,San Diego,33.21086,-117.299,1,GAS
1064,2019,CA,Genentech Vacaville Meter #1,60844,Tesla Inc.,60947,Solano,38.390756,-121.94777,2,SOLAR
1065,2019,CA,Genentech-Oceanside Hybrid,60231,Tesla Inc.,60947,San Diego,33.211095,-117.299593,2,SOLAR
1066,2019,CA,Genesis Solar Energy Project,57394,Genesis Solar LLC,56723,Riverside,33.665,-114.998055,2,SOLAR
1067,2019,CA,Geo East Mesa II,54038,Ormat Nevada Inc,34691,Imperial,32.7757,-115.2637,1,GEOTHERMAL
1068,2019,CA,Geo East Mesa III,10763,Ormat Nevada Inc,34691,Imperial,32.7757,-115.2637,2,GEOTHERMAL
1069,2019,CA,Geothermal 1,7368,Northern California Power Agny,40613,Sonoma,38.752,-122.7195,2,GEOTHERMAL
1070,2019,CA,Geothermal 2,7369,Northern California Power Agny,40613,Sonoma,38.7492,-122.7117,2,GEOTHERMAL
1071,2019,CA,Geysers Unit 5-20,286,Geysers Power Co LLC,7160,Sonoma,38.777,-122.745,14,GEOTHERMAL
1072,2019,CA,Gianera,7231,City of Santa Clara - (CA),16655,Santa Clara,37.401,-121.96867,2,GAS
1073,2019,CA,Giffen,57521,Pacific Gas & Electric Co.,14328,Fresno,36.530278,-120.316111,2,SOLAR
1074,2019,CA,Giffen Solar Park,59522,"Giffen Solar Park, LLC",59257,Fresno,36.544722,-120.316111,1,SOLAR
1075,2019,CA,"Gilroy Energy Center, LLC",55810,Calpine Gilroy Cogen LP,3028,Santa Clara,36.999,-121.5363,3,GAS
1076,2019,CA,Glenarm,422,City of Pasadena - (CA),14534,Los Angeles,34.126,-118.1494,3,GAS
1077,2019,CA,Glendale Battery Energy Storage System,60974,City of Glendale - (CA),7294,Los Angeles,34.162327,-118.283684,1,OTHF
1078,2019,CA,Goal Line,54749,Goal Line LP,22269,San Diego,33.1185,-117.0995,1,GAS
1079,2019,CA,Golden Acorn Casino,59328,"Foundation CA Fund VII Manager, LLC",59129,San Diego,32.702107,-116.354587,1,WIND
1080,2019,CA,"Golden Field Solar III, LLC",63859,"Golden Field Solar III, LLC",63545,Kern,34.847,-118.395,1,SOLAR
1081,2019,CA,"Golden Fields Solar I, LLC",60590,"Golden Fields Solar I, LLC",60352,Kern,34.839012,-118.386843,1,SOLAR
1082,2019,CA,Golden Hills North Wind Energy Center,61222,"Golden Hills Interconnection Wind, LLC",60811,Alameda,37.769189,-121.630163,1,WIND
1083,2019,CA,Golden Hills Wind,60049,"Golden Hills Wind, LLC",59780,Alameda,37.713311,-121.640353,1,WIND
1084,2019,CA,Golden Springs Building C-1,57796,Golden Springs Development Company LLC,57104,Los Angeles,33.914167,-118.053611,1,SOLAR
1085,2019,CA,Golden Springs Building D,57797,Golden Springs Development Company LLC,57104,Los Angeles,33.911944,-118.052222,1,SOLAR
1086,2019,CA,Goleta Grid Resiliency,63736,"ENEL BELLA ENERGY STORAGE, LLC",62742,Santa Barbara,34.430618,-119.861942,1,OTHF
1087,2019,CA,Goose Haven Energy Center,55627,Goose Haven Energy Center,49970,Solano,38.226752,-121.843271,1,GAS
1088,2019,CA,Gosselin Hydro Plant,10128,Humboldt Bay Mun Water Dist,8787,Trinity,40.37,-123.4347,2,HYDRO
1089,2019,CA,GPS Cabazon Wind LLC,50552,GlidePath Power Operations LLC,61728,Riverside,33.914986,-116.71026,1,WIND
1090,2019,CA,Granger,60516,"Heelstone Energy Holdings, LLC",59462,San Diego,33.2704,-117.0588,1,SOLAR
1091,2019,CA,Grape,63851,"Westlands Grape, LLC",63528,Kings,36.145687,-119.905149,1,SOLAR
1092,2019,CA,Grapeland Generating Station,56472,Southern California Edison Co,17609,San Bernardino,34.0903,-117.5343,1,GAS
1093,2019,CA,Grassland 1&2 Solar Project,58217,Yolo County of,56751,Yolo,38.500278,-121.694167,1,SOLAR
1094,2019,CA,Grassland 3&4 Solar Project,58204,Yolo County of,56751,Yolo,38.500278,-121.694167,1,SOLAR
1095,2019,CA,Grayson Power Plant,377,City of Glendale - (CA),7294,Los Angeles,34.1556,-118.2782,3,GAS
1096,2019,CA,"Great Valley Solar Portfolio Holdings, LLC",59940,Consolidated Edison Development Inc.,56769,Fresno,36.581182,-120.37957,4,SOLAR
1097,2019,CA,Green Acres Solar Facility 1,57849,SEAI Elk Grove LLC,57177,Sacramento,38.282021,-121.464676,1,SOLAR
1098,2019,CA,Green Acres Solar Facility 2,57850,SEAI Elk Grove LLC,57177,Sacramento,38.28357,-121.461264,1,SOLAR
1099,2019,CA,Green Beanworks B PV,61339,"Sustainable Power Group, LLC",58661,Los Angeles,34.688042,-117.989541,1,SOLAR
1100,2019,CA,Green Beanworks C PV,61215,"Sustainable Power Group, LLC",58661,Los Angeles,34.597,-117.931,1,SOLAR
1101,2019,CA,Green Beanworks D PV,61216,"Sustainable Power Group, LLC",58661,Los Angeles,34.654976,-118.08215,1,SOLAR
1102,2019,CA,Green Power I,55396,FPL Energy Green Power,49750,Riverside,33.9014,-116.7167,1,WIND
1103,2019,CA,Greenleaf One,10350,Greenleaf Energy LLC,59879,Sutter,39.052922,-121.696072,1,GAS
1104,2019,CA,Greg Avenue,6643,Metropolitan Water District of S CA,12397,Los Angeles,34.20795,-118.3516,1,HYDRO
1105,2019,CA,Gridley Main,58370,Light Beam Power Co LLC,58358,Butte,39.373333,-121.684167,1,SOLAR
1106,2019,CA,Gridley Main Two,58371,Light Beam Power Co LLC,58358,Butte,39.373333,-121.681667,1,SOLAR
1107,2019,CA,Grizzly,7338,City of Santa Clara - (CA),16655,Plumas,39.889287,-121.279173,1,HYDRO
1108,2019,CA,Grossmont Hospital,10115,Sharp Grossmont Hospital,7726,San Diego,32.77973,-117.006397,3,GAS
1109,2019,CA,Grossmont HS Solar Project,62987,"Solar Star California LXXVIII, LLC",62854,San Diego,32.816542,-116.999589,1,SOLAR
1110,2019,CA,GRS American Canyon,10392,Gas Recovery Systems Inc,25049,Napa,38.1419,-122.2439,2,BIOMASS
1111,2019,CA,GRS Newby I,10388,Gas Recovery Systems Inc,25049,Santa Clara,37.4567,-121.9419,4,BIOMASS
1112,2019,CA,Guadalupe Solar Farm,62690,County of Santa Clara (CA),62628,Santa Clara,37.269039,-121.861079,1,SOLAR
1113,2019,CA,Guernsey Solar Station,57891,Pacific Gas & Electric Co.,14328,Kings,36.163889,-119.650556,1,SOLAR
1114,2019,CA,H. Gonzales,56039,City of Vernon,19798,Los Angeles,33.9986,-118.2219,2,GAS
1115,2019,CA,Haas,240,Pacific Gas & Electric Co.,14328,Fresno,36.927424,-119.02025,2,HYDRO
1116,2019,CA,Haiwee,398,Los Angeles Department of Water & Power,11208,Inyo,36.109722,-117.956667,2,HYDRO
1117,2019,CA,Halsey,241,Pacific Gas & Electric Co.,14328,Placer,38.956985,-121.041932,1,HYDRO
1118,2019,CA,Hamilton Branch,242,Pacific Gas & Electric Co.,14328,Plumas,40.268712,-121.089479,2,HYDRO
1119,2019,CA,Hanford 1 and 2,59300,"Sequoia PV 2, LLC",59104,Kings,36.306667,-119.629167,2,SOLAR
1120,2019,CA,Hanford Energy Park Peaker,55698,MRP San Joaquin Energy LLC.,7724,Kings,36.270072,-119.648055,2,GAS
1121,2019,CA,Harbor Cogen,50541,Harbor Cogeneration Co.,8303,Los Angeles,33.7771,-118.2303,3,GAS
1122,2019,CA,Harbor Generating Station,399,Los Angeles Department of Water & Power,11208,Los Angeles,33.7706,-118.2656,7,GAS
1123,2019,CA,Hat Creek 1,243,Pacific Gas & Electric Co.,14328,Shasta,40.929297,-121.544462,1,HYDRO
